"feature id","feature label","shid","geoid","Total Population (2020-2024)"
"publicpolygonfeature:5:61229","ZIP Code 94133","country:us/state:ca/zip:94133","94133","23804"
"publicpolygonfeature:5:61462","ZIP Code 94134","country:us/state:ca/zip:94134","94134","38633"
"publicpolygonfeature:5:63101","ZIP Code 94158","country:us/state:ca/zip:94158","94158","11314"
"publicpolygonfeature:5:63105","ZIP Code 94555","country:us/state:ca/zip:94555","94555","37501"
"publicpolygonfeature:5:63344","ZIP Code 94596","country:us/state:ca/zip:94596","94596","23417"
"publicpolygonfeature:5:63365","ZIP Code 94063","country:us/state:ca/zip:94063","94063","34433"
"publicpolygonfeature:5:63377","ZIP Code 94065","country:us/state:ca/zip:94065","94065","11673"
"publicpolygonfeature:5:63384","ZIP Code 94707","country:us/state:ca/zip:94707","94707","12811"
"publicpolygonfeature:5:63393","ZIP Code 94066","country:us/state:ca/zip:94066","94066","42728"
"publicpolygonfeature:5:63398","ZIP Code 94111","country:us/state:ca/zip:94111","94111","4579"
"publicpolygonfeature:5:63405","ZIP Code 94112","country:us/state:ca/zip:94112","94112","79277"
"publicpolygonfeature:5:63439","ZIP Code 94021","country:us/state:ca/zip:94021","94021","321"
"publicpolygonfeature:5:63449","ZIP Code 94027","country:us/state:ca/zip:94027","94027","7002"
"publicpolygonfeature:5:63453","ZIP Code 94114","country:us/state:ca/zip:94114","94114","33020"
"publicpolygonfeature:5:63455","ZIP Code 94115","country:us/state:ca/zip:94115","94115","32629"
"publicpolygonfeature:5:63458","ZIP Code 94116","country:us/state:ca/zip:94116","94116","43791"
"publicpolygonfeature:5:63490","ZIP Code 94014","country:us/state:ca/zip:94014","94014","45315"
"publicpolygonfeature:5:63510","ZIP Code 94015","country:us/state:ca/zip:94015","94015","64091"
"publicpolygonfeature:5:63515","ZIP Code 94117","country:us/state:ca/zip:94117","94117","36198"
"publicpolygonfeature:5:63528","ZIP Code 94118","country:us/state:ca/zip:94118","94118","39130"
"publicpolygonfeature:5:63543","ZIP Code 94002","country:us/state:ca/zip:94002","94002","27534"
"publicpolygonfeature:5:63544","ZIP Code 94005","country:us/state:ca/zip:94005","94005","4692"
"publicpolygonfeature:5:63545","ZIP Code 94010","country:us/state:ca/zip:94010","94010","43025"
"publicpolygonfeature:5:63546","ZIP Code 94019","country:us/state:ca/zip:94019","94019","14419"
"publicpolygonfeature:5:63547","ZIP Code 94020","country:us/state:ca/zip:94020","94020","1694"
"publicpolygonfeature:5:63550","ZIP Code 94025","country:us/state:ca/zip:94025","94025","40721"
"publicpolygonfeature:5:63551","ZIP Code 94028","country:us/state:ca/zip:94028","94028","6531"
"publicpolygonfeature:5:63552","ZIP Code 94030","country:us/state:ca/zip:94030","94030","22689"
"publicpolygonfeature:5:63553","ZIP Code 94037","country:us/state:ca/zip:94037","94037","2917"
"publicpolygonfeature:5:63554","ZIP Code 94038","country:us/state:ca/zip:94038","94038","2683"
"publicpolygonfeature:5:63557","ZIP Code 94044","country:us/state:ca/zip:94044","94044","37274"
"publicpolygonfeature:5:63558","ZIP Code 94060","country:us/state:ca/zip:94060","94060","1465"
"publicpolygonfeature:5:63559","ZIP Code 94061","country:us/state:ca/zip:94061","94061","37048"
"publicpolygonfeature:5:63560","ZIP Code 94121","country:us/state:ca/zip:94121","94121","41995"
"publicpolygonfeature:5:63561","ZIP Code 94062","country:us/state:ca/zip:94062","94062","25759"
"publicpolygonfeature:5:63562","ZIP Code 94122","country:us/state:ca/zip:94122","94122","55819"
"publicpolygonfeature:5:63563","ZIP Code 94070","country:us/state:ca/zip:94070","94070","30447"
"publicpolygonfeature:5:63564","ZIP Code 94074","country:us/state:ca/zip:94074","94074","126"
"publicpolygonfeature:5:63565","ZIP Code 94080","country:us/state:ca/zip:94080","94080","64761"
"publicpolygonfeature:5:63570","ZIP Code 94102","country:us/state:ca/zip:94102","94102","35976"
"publicpolygonfeature:5:63571","ZIP Code 94103","country:us/state:ca/zip:94103","94103","34964"
"publicpolygonfeature:5:63572","ZIP Code 94104","country:us/state:ca/zip:94104","94104","498"
"publicpolygonfeature:5:63573","ZIP Code 94105","country:us/state:ca/zip:94105","94105","13861"
"publicpolygonfeature:5:63574","ZIP Code 94107","country:us/state:ca/zip:94107","94107","31823"
"publicpolygonfeature:5:63575","ZIP Code 94108","country:us/state:ca/zip:94108","94108","11305"
"publicpolygonfeature:5:63576","ZIP Code 94109","country:us/state:ca/zip:94109","94109","54553"
"publicpolygonfeature:5:63577","ZIP Code 94110","country:us/state:ca/zip:94110","94110","66865"
"publicpolygonfeature:5:63578","ZIP Code 94123","country:us/state:ca/zip:94123","94123","24054"
"publicpolygonfeature:5:63579","ZIP Code 94124","country:us/state:ca/zip:94124","94124","34475"
"publicpolygonfeature:5:63580","ZIP Code 94127","country:us/state:ca/zip:94127","94127","20288"
"publicpolygonfeature:5:63581","ZIP Code 94128","country:us/state:ca/zip:94128","94128","0"
"publicpolygonfeature:5:63582","ZIP Code 94129","country:us/state:ca/zip:94129","94129","3836"
"publicpolygonfeature:5:63583","ZIP Code 94130","country:us/state:ca/zip:94130","94130","2429"
"publicpolygonfeature:5:63584","ZIP Code 94131","country:us/state:ca/zip:94131","94131","28504"
"publicpolygonfeature:5:63585","ZIP Code 94132","country:us/state:ca/zip:94132","94132","26859"
"publicpolygonfeature:5:63586","ZIP Code 94303","country:us/state:ca/zip:94303","94303","46879"
"publicpolygonfeature:5:63590","ZIP Code 94401","country:us/state:ca/zip:94401","94401","35295"
"publicpolygonfeature:5:63592","ZIP Code 94402","country:us/state:ca/zip:94402","94402","25475"
"publicpolygonfeature:5:63593","ZIP Code 94403","country:us/state:ca/zip:94403","94403","43276"
"publicpolygonfeature:5:63594","ZIP Code 94404","country:us/state:ca/zip:94404","94404","35881"
"publicpolygonfeature:5:63595","ZIP Code 94501","country:us/state:ca/zip:94501","94501","63808"
"publicpolygonfeature:5:63596","ZIP Code 94502","country:us/state:ca/zip:94502","94502","13430"
"publicpolygonfeature:5:63598","ZIP Code 94509","country:us/state:ca/zip:94509","94509","70090"
"publicpolygonfeature:5:63599","ZIP Code 94505","country:us/state:ca/zip:94505","94505","14970"
"publicpolygonfeature:5:63600","ZIP Code 94506","country:us/state:ca/zip:94506","94506","27055"
"publicpolygonfeature:5:63601","ZIP Code 94507","country:us/state:ca/zip:94507","94507","14586"
"publicpolygonfeature:5:63605","ZIP Code 94511","country:us/state:ca/zip:94511","94511","1864"
"publicpolygonfeature:5:63607","ZIP Code 94518","country:us/state:ca/zip:94518","94518","27345"
"publicpolygonfeature:5:63608","ZIP Code 94519","country:us/state:ca/zip:94519","94519","19058"
"publicpolygonfeature:5:63609","ZIP Code 94929","country:us/state:ca/zip:94929","94929","293"
"publicpolygonfeature:5:63610","ZIP Code 94513","country:us/state:ca/zip:94513","94513","69755"
"publicpolygonfeature:5:63611","ZIP Code 94514","country:us/state:ca/zip:94514","94514","1953"
"publicpolygonfeature:5:63612","ZIP Code 94566","country:us/state:ca/zip:94566","94566","44222"
"publicpolygonfeature:5:63614","ZIP Code 94516","country:us/state:ca/zip:94516","94516","214"
"publicpolygonfeature:5:63615","ZIP Code 94517","country:us/state:ca/zip:94517","94517","12316"
"publicpolygonfeature:5:63616","ZIP Code 94520","country:us/state:ca/zip:94520","94520","37381"
"publicpolygonfeature:5:63617","ZIP Code 94521","country:us/state:ca/zip:94521","94521","41909"
"publicpolygonfeature:5:63618","ZIP Code 94523","country:us/state:ca/zip:94523","94523","34592"
"publicpolygonfeature:5:63619","ZIP Code 94525","country:us/state:ca/zip:94525","94525","3372"
"publicpolygonfeature:5:63621","ZIP Code 94526","country:us/state:ca/zip:94526","94526","32584"
"publicpolygonfeature:5:63622","ZIP Code 94528","country:us/state:ca/zip:94528","94528","1049"
"publicpolygonfeature:5:63623","ZIP Code 94530","country:us/state:ca/zip:94530","94530","26401"
"publicpolygonfeature:5:63624","ZIP Code 94531","country:us/state:ca/zip:94531","94531","46387"
"publicpolygonfeature:5:63628","ZIP Code 94536","country:us/state:ca/zip:94536","94536","70619"
"publicpolygonfeature:5:63630","ZIP Code 94538","country:us/state:ca/zip:94538","94538","67781"
"publicpolygonfeature:5:63631","ZIP Code 94539","country:us/state:ca/zip:94539","94539","52396"
"publicpolygonfeature:5:63632","ZIP Code 94541","country:us/state:ca/zip:94541","94541","67139"
"publicpolygonfeature:5:63633","ZIP Code 94542","country:us/state:ca/zip:94542","94542","14871"
"publicpolygonfeature:5:63634","ZIP Code 94544","country:us/state:ca/zip:94544","94544","76947"
"publicpolygonfeature:5:63635","ZIP Code 94545","country:us/state:ca/zip:94545","94545","32843"
"publicpolygonfeature:5:63636","ZIP Code 94546","country:us/state:ca/zip:94546","94546","44855"
"publicpolygonfeature:5:63637","ZIP Code 94547","country:us/state:ca/zip:94547","94547","26302"
"publicpolygonfeature:5:63638","ZIP Code 94548","country:us/state:ca/zip:94548","94548","832"
"publicpolygonfeature:5:63640","ZIP Code 94549","country:us/state:ca/zip:94549","94549","28420"
"publicpolygonfeature:5:63641","ZIP Code 94551","country:us/state:ca/zip:94551","94551","37885"
"publicpolygonfeature:5:63642","ZIP Code 94578","country:us/state:ca/zip:94578","94578","41769"
"publicpolygonfeature:5:63643","ZIP Code 94550","country:us/state:ca/zip:94550","94550","49873"
