"feature id","feature label","shid","geoid","Total Employed (2023)","Total Employed (2020-2024)","Total Unemployed (2020-2024)"
"publicpolygonfeature:5:49363","ZIP Code 80206","country:us/state:co/zip:80206","80206","23807","16148","535"
"publicpolygonfeature:5:49399","ZIP Code 80207","country:us/state:co/zip:80207","80207","6818","11358","647"
"publicpolygonfeature:5:54224","ZIP Code 80123","country:us/state:co/zip:80123","80123","12942","23353","1063"
"publicpolygonfeature:5:54261","ZIP Code 80124","country:us/state:co/zip:80124","80124","20533","13035","606"
"publicpolygonfeature:5:55559","ZIP Code 80209","country:us/state:co/zip:80209","80209","10348","17191","564"
"publicpolygonfeature:5:55648","ZIP Code 80210","country:us/state:co/zip:80210","80210","12744","23493","1028"
"publicpolygonfeature:5:55661","ZIP Code 80211","country:us/state:co/zip:80211","80211","15860","27401","1082"
"publicpolygonfeature:5:57224","ZIP Code 80219","country:us/state:co/zip:80219","80219","6077","28677","1381"
"publicpolygonfeature:5:57244","ZIP Code 80220","country:us/state:co/zip:80220","80220","7699","21344","983"
"publicpolygonfeature:5:57249","ZIP Code 80221","country:us/state:co/zip:80221","80221","13526","21382","1348"
"publicpolygonfeature:5:57257","ZIP Code 80222","country:us/state:co/zip:80222","80222","19908","14267","703"
"publicpolygonfeature:5:57292","ZIP Code 80231","country:us/state:co/zip:80231","80231","15771","20957","1049"
"publicpolygonfeature:5:57329","ZIP Code 80232","country:us/state:co/zip:80232","80232","2615","12786","576"
"publicpolygonfeature:5:57438","ZIP Code 80233","country:us/state:co/zip:80233","80233","7963","27266","987"
"publicpolygonfeature:5:57456","ZIP Code 80234","country:us/state:co/zip:80234","80234","15358","17660","449"
"publicpolygonfeature:5:57463","ZIP Code 80235","country:us/state:co/zip:80235","80235","3468","4465","253"
"publicpolygonfeature:5:57489","ZIP Code 80236","country:us/state:co/zip:80236","80236","1097","8294","543"
"publicpolygonfeature:5:57492","ZIP Code 80237","country:us/state:co/zip:80237","80237","24374","14098","571"
"publicpolygonfeature:5:57499","ZIP Code 80238","country:us/state:co/zip:80238","80238","14786","16736","535"
"publicpolygonfeature:5:57507","ZIP Code 80239","country:us/state:co/zip:80239","80239","28211","21740","1765"
"publicpolygonfeature:5:57517","ZIP Code 80241","country:us/state:co/zip:80241","80241","4946","19273","780"
"publicpolygonfeature:5:57526","ZIP Code 80246","country:us/state:co/zip:80246","80246","14291","9637","314"
"publicpolygonfeature:5:57994","ZIP Code 80015","country:us/state:co/zip:80015","80015","7872","40425","1546"
"publicpolygonfeature:5:57998","ZIP Code 80045","country:us/state:co/zip:80045","80045","15663","821","49"
"publicpolygonfeature:5:58158","ZIP Code 80212","country:us/state:co/zip:80212","80212","5591","13216","505"
"publicpolygonfeature:5:58168","ZIP Code 80214","country:us/state:co/zip:80214","80214","9587","16381","950"
"publicpolygonfeature:5:58185","ZIP Code 80215","country:us/state:co/zip:80215","80215","13412","10427","720"
"publicpolygonfeature:5:59760","ZIP Code 80247","country:us/state:co/zip:80247","80247","1630","16673","985"
"publicpolygonfeature:5:59764","ZIP Code 80249","country:us/state:co/zip:80249","80249","31405","22560","1731"
"publicpolygonfeature:5:59775","ZIP Code 80260","country:us/state:co/zip:80260","80260","3905","16501","1220"
"publicpolygonfeature:5:59781","ZIP Code 80264","country:us/state:co/zip:80264","80264","569","0","0"
"publicpolygonfeature:5:59782","ZIP Code 80290","country:us/state:co/zip:80290","80290","700","463","11"
"publicpolygonfeature:5:59783","ZIP Code 80293","country:us/state:co/zip:80293","80293","182","0","0"
"publicpolygonfeature:5:59792","ZIP Code 80294","country:us/state:co/zip:80294","80294","12","0","0"
"publicpolygonfeature:5:60389","ZIP Code 80002","country:us/state:co/zip:80002","80002","12690","12870","453"
"publicpolygonfeature:5:60390","ZIP Code 80003","country:us/state:co/zip:80003","80003","9070","19649","963"
"publicpolygonfeature:5:60391","ZIP Code 80004","country:us/state:co/zip:80004","80004","4928","19008","625"
"publicpolygonfeature:5:60392","ZIP Code 80005","country:us/state:co/zip:80005","80005","2569","15691","535"
"publicpolygonfeature:5:60393","ZIP Code 80007","country:us/state:co/zip:80007","80007","3020","10028","336"
"publicpolygonfeature:5:60394","ZIP Code 80216","country:us/state:co/zip:80216","80216","38527","9933","645"
"publicpolygonfeature:5:60395","ZIP Code 80010","country:us/state:co/zip:80010","80010","6668","20415","1978"
"publicpolygonfeature:5:60396","ZIP Code 80011","country:us/state:co/zip:80011","80011","38984","27762","1942"
"publicpolygonfeature:5:60397","ZIP Code 80012","country:us/state:co/zip:80012","80012","18765","26831","1958"
"publicpolygonfeature:5:60398","ZIP Code 80013","country:us/state:co/zip:80013","80013","5072","39964","2192"
"publicpolygonfeature:5:60399","ZIP Code 80014","country:us/state:co/zip:80014","80014","25628","20330","1494"
"publicpolygonfeature:5:60400","ZIP Code 80016","country:us/state:co/zip:80016","80016","12506","36065","1568"
"publicpolygonfeature:5:60401","ZIP Code 80017","country:us/state:co/zip:80017","80017","2662","21642","1396"
"publicpolygonfeature:5:60402","ZIP Code 80018","country:us/state:co/zip:80018","80018","796","11014","276"
"publicpolygonfeature:5:60403","ZIP Code 80019","country:us/state:co/zip:80019","80019","8233","5384","37"
"publicpolygonfeature:5:60404","ZIP Code 80020","country:us/state:co/zip:80020","80020","18161","30816","1124"
"publicpolygonfeature:5:60405","ZIP Code 80021","country:us/state:co/zip:80021","80021","47973","23365","1122"
"publicpolygonfeature:5:60406","ZIP Code 80218","country:us/state:co/zip:80218","80218","10369","13984","761"
"publicpolygonfeature:5:60407","ZIP Code 80022","country:us/state:co/zip:80022","80022","28618","30690","1593"
"publicpolygonfeature:5:60408","ZIP Code 80023","country:us/state:co/zip:80023","80023","13760","14143","459"
"publicpolygonfeature:5:60409","ZIP Code 80024","country:us/state:co/zip:80024","80024","32","8","0"
"publicpolygonfeature:5:60411","ZIP Code 80109","country:us/state:co/zip:80109","80109","5224","15291","1017"
"publicpolygonfeature:5:60414","ZIP Code 80030","country:us/state:co/zip:80030","80030","4040","7663","587"
"publicpolygonfeature:5:60415","ZIP Code 80031","country:us/state:co/zip:80031","80031","7972","19960","649"
"publicpolygonfeature:5:60416","ZIP Code 80033","country:us/state:co/zip:80033","80033","16629","15150","978"
"publicpolygonfeature:5:60417","ZIP Code 80101","country:us/state:co/zip:80101","80101","6","142","3"
"publicpolygonfeature:5:60418","ZIP Code 80102","country:us/state:co/zip:80102","80102","1028","3519","46"
"publicpolygonfeature:5:60419","ZIP Code 80110","country:us/state:co/zip:80110","80110","22516","14091","920"
"publicpolygonfeature:5:60420","ZIP Code 80103","country:us/state:co/zip:80103","80103","192","1350","165"
"publicpolygonfeature:5:60421","ZIP Code 80104","country:us/state:co/zip:80104","80104","9236","22045","880"
"publicpolygonfeature:5:60422","ZIP Code 80105","country:us/state:co/zip:80105","80105","98","1170","13"
"publicpolygonfeature:5:60423","ZIP Code 80106","country:us/state:co/zip:80106","80106","264","2487","118"
"publicpolygonfeature:5:60424","ZIP Code 80107","country:us/state:co/zip:80107","80107","2042","7819","262"
"publicpolygonfeature:5:60425","ZIP Code 80108","country:us/state:co/zip:80108","80108","7815","19730","566"
"publicpolygonfeature:5:60426","ZIP Code 80111","country:us/state:co/zip:80111","80111","64295","17780","448"
"publicpolygonfeature:5:60427","ZIP Code 80112","country:us/state:co/zip:80112","80112","109193","21557","1186"
"publicpolygonfeature:5:60428","ZIP Code 80113","country:us/state:co/zip:80113","80113","8476","13018","568"
"publicpolygonfeature:5:60429","ZIP Code 80116","country:us/state:co/zip:80116","80116","976","2329","39"
"publicpolygonfeature:5:60430","ZIP Code 80120","country:us/state:co/zip:80120","80120","17650","15909","616"
"publicpolygonfeature:5:60431","ZIP Code 80121","country:us/state:co/zip:80121","80121","3804","8812","366"
"publicpolygonfeature:5:60432","ZIP Code 80122","country:us/state:co/zip:80122","80122","12333","17407","975"
"publicpolygonfeature:5:60433","ZIP Code 80117","country:us/state:co/zip:80117","80117","544","1497","21"
"publicpolygonfeature:5:60434","ZIP Code 80118","country:us/state:co/zip:80118","80118","602","3204","68"
"publicpolygonfeature:5:60435","ZIP Code 80125","country:us/state:co/zip:80125","80125","11287","8542","314"
"publicpolygonfeature:5:60436","ZIP Code 80126","country:us/state:co/zip:80126","80126","8706","24248","1050"
"publicpolygonfeature:5:60437","ZIP Code 80134","country:us/state:co/zip:80134","80134","16832","45650","1184"
"publicpolygonfeature:5:60438","ZIP Code 80135","country:us/state:co/zip:80135","80135","1590","1950","67"
"publicpolygonfeature:5:60439","ZIP Code 80127","country:us/state:co/zip:80127","80127","13365","23871","692"
"publicpolygonfeature:5:60440","ZIP Code 80128","country:us/state:co/zip:80128","80128","3549","20289","763"
"publicpolygonfeature:5:60441","ZIP Code 80129","country:us/state:co/zip:80129","80129","13530","16396","539"
"publicpolygonfeature:5:60442","ZIP Code 80130","country:us/state:co/zip:80130","80130","2630","13246","552"
"publicpolygonfeature:5:60443","ZIP Code 80131","country:us/state:co/zip:80131","80131","55","161","0"
"publicpolygonfeature:5:60446","ZIP Code 80204","country:us/state:co/zip:80204","80204","30228","22205","1280"
"publicpolygonfeature:5:60447","ZIP Code 80136","country:us/state:co/zip:80136","80136","759","2730","206"
"publicpolygonfeature:5:60448","ZIP Code 80137","country:us/state:co/zip:80137","80137","721","812","68"
"publicpolygonfeature:5:60449","ZIP Code 80138","country:us/state:co/zip:80138","80138","7672","19525","747"
